date,ttt_group,clicks_A,clicks_B,clicks_C,cost_A,cost_B,cost_C,bookings_A,bookings_B,bookings_C,booking_rev_A,booking_rev_B,booking_rev_C
2019-02-17,long,3826,11574,460536,1688,5863,369692,84,204,10133,13246,31836,1548197
2019-02-24,short,634949,405623,144197,614707,371300,115988,30574,15625,6943,4726658,2414857,1079598
2019-02-24,medium,344850,32072,311240,280914,19415,250306,13984,1040,12621,2161387,156678,1970134
2019-02-24,long,3673,11576,480638,1600,5821,385048,80,201,10436,12536,30503,1611403
2019-03-03,short,744013,462729,168104,722200,423275,135489,35847,17836,8099,5498581,2844288,1247173
2019-03-03,medium,346809,32746,317327,283348,19919,256398,14131,1067,12929,2159363,172564,2081906
2019-03-03,long,3532,11305,509953,1529,5659,410951,76,196,11028,13019,31595,1664625
2019-03-10,short,868553,458489,198927,846897,412743,161330,41866,17680,9589,6509868,2797480,1501466
2019-03-10,medium,355367,33038,302187,294386,20337,245310,14538,1081,12362,2272346,162386,1898568
2019-03-10,long,3726,11468,544273,1622,5745,441711,81,199,11806,13498,33094,1969500
2019-03-17,short,926934,513771,197992,901999,464400,158857,44697,19819,9547,7149552,3176459,1433168
2019-03-17,medium,330139,27171,316303,271140,16332,258390,13535,891,12967,2129393,136179,2055156
2019-03-17,long,4714,13310,579124,2078,6680,465792,103,233,12662,15904,36311,1906461
2019-03-24,short,951308,552506,209770,920237,499364,167977,45887,21320,10118,7078533,3400127,1551371
2019-03-24,medium,340188,29257,279755,279221,17672,224073,13943,959,11466,2158757,146065,1742265
2019-03-24,long,4826,13637,617763,2137,6876,501716,107,241,13667,16240,36906,2051418
2019-03-31,short,952968,583955,214265,925075,533201,172597,45980,22540,10338,6999965,3387364,1625435
2019-03-31,medium,323251,27985,269673,264634,16873,215827,13210,915,11020,2099356,145398,1789976
2019-03-31,long,6071,14718,654177,2738,7416,529644,136,264,14685,22551,39809,2227538
2019-04-07,short,926278,617026,208370,896071,567348,167282,44707,23824,10057,6730622,3609772,1623092
2019-04-07,medium,302584,28504,263505,247013,17320,211425,12289,926,10702,1922928,144320,1712501
2019-04-07,long,7623,16179,685621,3484,8124,549885,174,295,15637,27502,45449,2407652
2019-04-14,short,917909,577633,205170,888315,527565,164644,44344,22324,9912,6720062,3687902,1590375
2019-04-14,medium,269280,25323,294318,218339,15279,241308,10860,817,11870,1664318,122683,1880798
2019-04-14,long,8894,18368,708344,4128,9334,568253,206,341,16431,31182,54276,2466050
2019-04-21,short,841713,521508,213527,814861,475546,174144,40677,20162,10319,6233062,3050563,1620625
2019-04-21,medium,284570,30680,296785,230081,18777,241221,11415,984,11904,1748602,152500,1855940
2019-04-21,long,8900,14892,727271,4211,7514,596599,210,281,17172,33632,43305,2586997
2019-04-28,short,784130,452778,171142,759775,409609,137096,37861,17489,8263,5734975,2743689,1241483
2019-04-28,medium,312628,31775,311993,250386,19123,249814,12496,1016,12470,1896341,155731,2015731
2019-04-28,long,11619,16001,727874,5593,8016,587643,279,308,17501,43016,47089,2940808
2019-05-05,short,737113,426786,172199,713956,386084,139069,35567,16474,8309,5632032,2575180,1256778
2019-05-05,medium,338579,34589,343898,271055,20821,275851,13514,1104,13726,2192373,173491,2100400
2019-05-05,long,13143,15754,721230,6443,7900,583326,322,308,17652,49237,47149,2878932
2019-05-12,short,735148,424171,172017,710895,382928,138724,35460,16368,8297,5777134,2467575,1287726
2019-05-12,medium,371329,40047,383314,297215,24265,308029,14830,1279,15308,2286619,200682,2312235
2019-05-12,long,16173,16715,701373,8110,8416,563414,403,333,17467,62374,53595,2680080
2019-05-19,short,766586,427178,174703,742329,384504,140622,36954,16474,8422,6313975,2520132,1325454
2019-05-19,medium,396199,39676,448716,317682,23861,365433,15853,1270,17954,2610663,195101,2785638
2019-05-19,long,17416,16059,674766,8844,8073,541231,441,325,17080,66621,49521,2704268
2019-05-26,short,761435,529080,170523,735333,488212,136585,36679,20389,8214,5684649,3243381,1265464
2019-05-26,medium,457453,44222,474705,368251,26583,383911,18347,1419,19039,2817910,220864,2967254
2019-05-26,long,15204,11968,646192,7838,5988,532319,391,246,16606,62121,38098,2639381
2019-06-02,short,917605,523479,198805,889180,472894,159123,44192,20169,9575,6895754,3063809,1454007
2019-06-02,medium,503767,46371,510853,407522,27840,413976,20259,1492,20543,3046951,238306,3336297
2019-06-02,long,19519,13749,598172,10212,6885,480043,509,287,15593,80806,43964,2397779
2019-06-09,short,1057871,582235,232614,1026359,524262,186757,50953,22435,11204,7766517,3432413,1757072
2019-06-09,medium,554820,51858,526385,448875,31198,423078,22371,1673,21224,3409472,251701,3463155
2019-06-09,long,18739,12825,552444,9910,6468,445962,495,271,14592,77539,42033,2202703
2019-06-16,short,1158465,692962,270872,1124788,630958,219312,55816,26710,13051,8435728,4320894,1983684
2019-06-16,medium,562340,55000,574109,455388,33307,466124,22735,1779,23210,3509039,277675,3669508
2019-06-16,long,19379,11564,501561,10431,5836,405463,518,247,13396,78008,39405,2010341
2019-06-23,short,1317144,752597,287790,1278990,681416,231068,63477,29016,13870,9925629,4679848,2120469
2019-06-23,medium,602426,56770,575916,491032,34443,466790,24420,1841,23346,4122896,287292,3595221
2019-06-23,long,18869,10807,449326,10202,5450,361072,508,233,12086,79014,35063,1887460
2019-06-30,short,1416403,820854,329917,1365621,739255,265125,68269,31651,15902,10532709,5066705,2390864
2019-06-30,medium,625597,53875,579834,510473,32356,468660,25424,1752,23564,3868237,269921,3634065
2019-06-30,long,17797,10062,398199,9673,5093,319183,479,217,10710,75973,32801,1669707
2019-07-07,short,1524808,906814,336892,1480794,825250,270897,73510,34974,16241,11103442,5398849,2515028
2019-07-07,medium,639242,56083,565706,523485,33882,456242,26042,1828,23046,3923669,286355,3591725
2019-07-07,long,12142,8637,356326,6471,4411,289705,323,184,9475,54822,30651,1485315
2019-07-14,short,1629967,928341,381686,1581952,839775,308967,78605,35815,18407,12508347,5413855,2916848
2019-07-14,medium,622805,53036,563847,510566,31956,456522,25447,1734,23038,3960028,274758,3522020
2019-07-14,long,9253,7129,320377,4799,3579,258807,240,148,8307,38549,24442,1283013
2019-07-21,short,1701137,952328,401038,1650249,859217,324752,82062,36752,19346,12378468,5574165,2920041
2019-07-21,medium,609228,53768,534345,499656,32556,431115,24982,1764,21911,3804265,266292,3365972
2019-07-21,long,6095,6384,295681,3050,3213,240380,152,127,7372,23204,20978,1198192
2019-07-28,short,1714072,1001552,387572,1657552,905612,311229,82702,38659,18700,12933296,5879941,2901211
2019-07-28,medium,587848,46359,501153,486296,27918,406391,24200,1527,20631,3895203,233867,3207242
2019-07-28,long,4098,6794,281279,1947,3438,226693,97,129,6668,14742,19972,1015308
2019-08-04,short,1658523,1041133,409177,1603904,949918,332194,80036,40194,19746,13150330,6117843,3000058
2019-08-04,medium,555357,45089,456230,459783,27273,368546,22942,1490,18847,3600500,231536,2986068
2019-08-04,long,3322,6389,266239,1539,3211,213307,76,118,6125,11464,17870,932996
2019-08-11,short,1712200,973084,389089,1661516,879883,313733,82643,37574,18780,12994724,5739646,2933144
2019-08-11,medium,534104,38853,389274,447019,23434,313173,22133,1288,16131,3346991,194295,2561791
2019-08-11,long,3171,6077,242154,1479,3074,194137,74,113,5635,11577,17829,928773
2019-08-18,short,1596717,1040962,357847,1548037,956674,287779,77088,40205,17276,11573664,6106916,2596078
2019-08-18,medium,482965,39724,332848,404851,24368,266328,20055,1320,13821,3028896,207133,2080527
2019-08-18,long,3047,4755,225001,1446,2386,182823,72,90,5326,11663,15036,848174
2019-08-25,short,1523892,963569,375680,1474202,880241,305073,73604,37232,18145,11102041,5708067,2760642
2019-08-25,medium,422338,31877,290000,355116,19405,232649,17557,1060,12056,2671138,159093,1827913
2019-08-25,long,3358,4443,209813,1635,2240,171254,81,86,5071,13355,14272,812957
2019-09-01,short,1393167,916296,349657,1347718,841174,284573,67329,35426,16898,10114873,5524361,2647061
2019-09-01,medium,354803,26731,258005,296186,16152,206971,14763,890,10735,2298600,142103,1611660
2019-09-01,long,4091,4465,200862,2023,2233,161627,101,88,4962,16077,13368,805104
2019-09-08,short,1329234,746713,294883,1291178,674889,237296,64264,28881,14257,10122721,4455375,2149282
2019-09-08,medium,304482,22174,221143,254646,13366,177700,12683,739,9211,1904499,114549,1459688
2019-09-08,long,4869,5045,197405,2454,2554,158019,123,102,4972,19322,16026,764862
2019-09-15,short,1096371,704494,256566,1061433,645360,207152,53004,27247,12404,8311753,4090219,2075318
2019-09-15,medium,256138,18065,193135,214168,10843,155889,10671,602,8046,1792904,91350,1223477
2019-09-15,long,5207,4380,201668,2662,2191,162853,133,89,5141,20113,13558,795140
2019-09-22,short,953161,582077,240678,924826,531008,196614,46082,22513,11636,7238287,3411690,1755131
2019-09-22,medium,212082,15769,170741,176307,9473,138144,8814,524,7096,1490311,81170,1070473
2019-09-22,long,5504,4856,208251,2818,2448,167927,140,99,5312,21932,15706,844024
2019-09-29,short,859604,481336,198348,837761,436304,160931,41571,18622,9592,6566276,2866972,1451432
2019-09-29,medium,175416,14578,157866,145235,8844,128993,7240,481,6516,1119435,77179,1002874
2019-09-29,long,5406,5511,217013,2727,2786,173649,136,111,5464,20760,16801,828660
2019-10-06,short,721932,416993,164032,700467,377767,132243,34909,16131,7932,5360799,2428034,1222691
2019-10-06,medium,155534,13838,145744,127850,8406,118833,6337,451,5938,970609,68646,910229
2019-10-06,long,3950,4756,226338,1944,2395,184727,97,93,5549,15411,14936,855973
2019-10-13,short,623428,341903,145336,605207,307900,117609,30153,13229,7029,4609734,2093489,1150176
2019-10-13,medium,137616,13644,154197,110419,8201,125495,5519,438,6184,888269,70313,955325
2019-10-13,long,3117,5335,227667,1467,2686,183229,73,100,5357,10975,15467,815753
2019-10-20,short,535897,288058,110417,523880,260574,88599,25923,11148,5341,3976418,1695104,869967
2019-10-20,medium,142852,16521,163830,113120,9990,131973,5656,523,6486,850842,80410,1016324
2019-10-20,long,2021,5360,219943,903,2704,176527,45,95,4880,6966,14438,752991
2019-10-27,short,426418,260587,90648,415374,238683,72762,20622,10082,4384,3130216,1603047,690886
2019-10-27,medium,151035,18025,202278,118826,10872,165060,5937,567,7951,963704,94200,1221394
2019-10-27,long,909,4694,200536,371,2349,160457,19,76,4083,2882,12053,628111
2019-11-03,short,353384,216216,91509,342185,196894,74839,17073,8357,4421,2788307,1313238,681714
2019-11-03,medium,192527,19561,198915,154095,11764,159859,7669,623,7924,1151240,99225,1217284
2019-11-03,long,644,4736,201109,251,2372,160945,13,74,3921,2121,11596,631465
2019-11-10,short,335316,192088,77929,324232,173244,62789,16170,7411,3758,2510903,1151053,608633
2019-11-10,medium,217454,19551,189763,177951,11839,152668,8890,639,7758,1432247,101590,1206226
2019-11-10,long,794,5510,230643,317,2803,187131,16,88,4595,2562,13246,690570
2019-11-17,short,346081,201063,83433,334779,181732,67560,16657,7742,4016,2539771,1210611,632272
2019-11-17,medium,252009,15629,167922,214135,9381,135625,10554,524,7033,1611873,79216,1153392
2019-11-17,long,1227,5924,263532,504,2965,211997,25,97,5400,4093,16018,827712
2019-11-24,short,391935,265132,93559,377691,243313,75377,18846,10199,4499,2953231,1586270,706436
2019-11-24,medium,251511,15657,158909,214859,9453,128180,10739,535,6785,1668770,87038,1037249
2019-11-24,long,1588,6996,296433,672,3564,241196,34,118,6265,5340,18123,953928
2019-12-01,short,524994,305910,128274,507034,276157,103877,25244,11768,6168,4140866,1771791,971657
2019-12-01,medium,243687,13435,129540,213005,8175,104630,10511,464,5587,1667071,76360,871982
2019-12-01,long,2459,7355,326594,1075,3688,263086,54,129,7134,8304,19839,1148199
2019-12-08,short,664398,416085,148669,643638,380180,119442,31954,16009,7150,5134824,2432383,1190004
2019-12-08,medium,181711,10780,105915,156468,6521,85251,7754,368,4520,1164225,58684,691741
2019-12-08,long,3253,8835,352137,1467,4514,285177,73,159,7934,11299,23906,1305580
2019-12-15,short,825836,532983,192931,794681,485557,154798,39727,20511,9281,6107511,3259706,1425907
2019-12-15,medium,54820,6211,62243,43423,3747,50092,2160,196,2452,324944,30714,371517
2019-12-15,long,4701,8920,374076,2180,4480,299731,109,165,8651,16862,25697,1373538
2019-12-22,short,888366,462440,202074,871759,418233,164790,43429,18086,9879,6805744,2846446,1509253
2019-12-22,medium,57302,7372,78660,44703,4451,63844,2225,229,3054,373968,35925,475503
2019-12-22,long,5087,8547,391793,2399,4302,318079,120,161,9240,18855,24500,1399707
2019-12-29,short,484656,252172,92584,477396,228915,74151,23731,9878,4533,3659169,1517817,695410
2019-12-29,medium,76319,10078,99361,59177,6067,79627,2957,312,3849,448239,47436,603925
2019-12-29,long,6959,10354,399984,3357,5249,320158,166,198,9555,26167,31343,1440969
2019-01-07,short,97953,55346,22733,94942,49950,18357,4728,2137,1097,758496,321490,174453
2019-01-07,medium,91774,11949,113427,71704,7236,91000,3575,372,4418,576164,56522,751332
2019-01-07,long,5813,8461,348046,2805,4278,280077,140,163,8358,22476,26444,1352270
2019-01-14,short,94674,54771,22656,91389,49375,18290,4552,2107,1089,733881,329788,168891
2019-01-14,medium,118406,14532,147005,92981,8779,118604,4645,456,5767,720654,72562,870085
2019-01-14,long,5427,7692,354260,2599,3848,286030,130,147,8472,19731,23947,1300430
2019-01-21,short,123038,66963,30212,119551,60301,24630,5907,2572,1450,974617,391833,237578
2019-01-21,medium,154520,19058,174526,122186,11601,140122,6108,603,6899,945209,90912,1101670
2019-01-21,long,4662,7486,360127,2212,3768,294194,110,142,8514,17860,21478,1338448
2019-01-28,short,168187,108785,39366,161586,98975,31543,8074,4178,1890,1241542,641008,286796
2019-01-28,medium,196317,21097,199112,157234,12786,159755,7816,672,7927,1221961,103328,1240331
2019-01-28,long,4514,8046,365318,2115,4052,296404,105,150,8493,16118,22755,1363854
2019-02-04,short,248241,152362,56184,239528,138312,45023,11922,5854,2698,1824250,909213,404963
2019-02-04,medium,224214,22374,232364,179760,13448,187127,8981,717,9307,1409356,109451,1410169
2019-02-04,long,4003,8482,372321,1831,4262,300167,91,155,8489,13655,24351,1450729
2019-02-11,short,343909,207666,85144,330872,187585,68799,16529,7985,4092,2607506,1211665,618649
2019-02-11,medium,250830,27164,250939,202011,16570,202110,10095,875,10100,1574754,140382,1577997
2019-02-11,long,3404,8920,381729,1527,4513,308902,76,159,8531,11972,24260,1419678
2019-02-18,short,463374,275920,102565,448392,250245,82198,22295,10621,4935,3396416,1648705,782670
2019-02-18,medium,275124,25414,264884,223183,15307,213860,11117,822,10704,1741435,126909,1624165
2019-02-18,long,3431,9847,393276,1522,4983,315568,75,173,8633,12331,29836,1296416
2019-02-25,short,563309,336225,132645,548519,306945,107803,27127,12953,6388,4398582,1952858,1024274
2019-02-25,medium,283284,27835,275823,230191,16924,223382,11495,904,11192,1769018,137002,1699470
2019-02-25,long,3161,10799,410637,1381,5501,329612,69,187,8906,10379,31338,1336242
2019-03-04,short,659822,383286,145878,640516,347647,117264,31793,14775,7029,4935009,2278402,1105117
2019-03-04,medium,298351,25202,268719,244215,15147,217102,12164,822,10956,1829482,128246,1644992
2019-03-04,long,2731,8653,438664,1184,4332,358755,59,150,9487,9430,25071,1505492
2019-03-11,short,722054,427229,163467,698021,386786,131246,34807,16476,7880,5775282,2516780,1191283
2019-03-11,medium,296026,27062,262335,242326,16427,211527,12115,886,10737,1836157,132939,1658925
2019-03-11,long,3365,13129,463515,1465,6775,373462,73,228,10063,11121,35076,1521828
2019-03-18,short,739820,485790,178334,714224,444961,144114,35676,18741,8600,5634552,2874033,1334105
2019-03-18,medium,299550,25192,245197,245962,15180,196356,12282,826,10053,1880733,131402,1633334
2019-03-18,long,3788,10943,497535,1667,5499,402879,83,192,10894,12646,29910,1680808
2019-03-25,short,811343,455360,196339,786739,410794,159444,39137,17572,9471,6112871,2647530,1423169
2019-03-25,medium,272132,27056,249292,223176,16627,202217,11151,887,10215,1780642,133708,1562670
2019-03-25,long,4515,12574,528496,2006,6349,425792,100,223,11715,15469,35651,1820048
2019-04-01,short,821816,467564,201136,794106,421045,162998,39654,18049,9705,6208373,2815051,1548005
2019-04-01,medium,268889,22766,232690,220047,13683,187012,10981,744,9502,1658957,114292,1450726
2019-04-01,long,5253,13949,559008,2374,7121,452688,118,251,12576,18961,39441,1983108
2019-04-08,short,807602,501247,177099,781106,456742,141695,38982,19356,8548,6354480,2975918,1308467
2019-04-08,medium,235003,25051,243009,190916,15384,198248,9534,813,9859,1489979,129524,1518021
2019-04-08,long,6819,14294,585574,3140,7220,470456,156,261,13387,24237,41004,2044509
2019-04-15,short,783132,474592,177338,758485,431760,142654,37838,18345,8568,5782069,2934569,1329009
2019-04-15,medium,241562,22580,237908,195314,13576,191994,9734,728,9587,1634095,109893,1452676
2019-04-15,long,7727,14494,605505,3594,7293,485826,180,270,14080,27626,40520,2247649
2019-04-22,short,738279,407235,171787,718356,367847,139301,35674,15742,8301,5465212,2468144,1283164
2019-04-22,medium,248337,28409,247898,199430,17398,199034,9955,911,9937,1620407,139268,1579706
2019-04-22,long,8223,12552,618725,3907,6288,504565,195,238,14647,30773,38036,2342342
2019-04-29,short,672405,370345,140579,654367,334517,112499,32462,14304,6787,5056460,2181899,1037103
2019-04-29,medium,255136,29379,279982,204493,17972,227029,10194,939,11187,1586083,148788,1815427
2019-04-29,long,11133,14610,616272,5399,7330,493577,268,282,14856,41178,44277,2239051
2019-05-06,short,620351,364773,147237,603139,331876,119597,29931,14080,7104,4568901,2305311,1148719
2019-05-06,medium,279509,30228,308266,223551,18308,249588,11156,965,12304,1678613,151848,1973929
2019-05-06,long,10788,12739,612719,5310,6402,499734,265,250,15034,42969,38758,2400084
2019-05-13,short,611584,381861,140745,590267,347479,113050,29498,14734,6788,4700406,2251465,1049106
2019-05-13,medium,321613,34145,330216,257438,20650,265198,12847,1091,13191,2120583,171794,2075597
2019-05-13,long,12602,12775,596084,6294,6391,482090,315,255,14881,51631,38445,2265903
2019-05-20,short,629097,387634,153713,607481,352330,124459,30322,14947,7409,4653528,2408292,1125625
2019-05-20,medium,369901,35565,357683,297773,21364,286732,14805,1139,14316,2336574,175634,2262092
2019-05-20,long,15730,14400,568075,8038,7278,454524,399,292,14412,60759,44112,2435418
2019-05-27,short,684348,412142,163098,662360,374399,131951,32964,15882,7856,5023239,2600241,1204969
2019-05-27,medium,395723,37296,407700,319539,22417,330439,15877,1197,16358,2458801,184204,2497181
2019-05-27,long,15446,14550,537601,7967,7449,432156,398,300,13844,65279,46557,2112834
2019-06-03,short,794156,446000,179953,771003,402869,145116,38247,17184,8667,6083280,2581210,1309545
2019-06-03,medium,441089,41860,428359,355887,25162,344353,17745,1347,17233,2914251,203717,2643445
2019-06-03,long,15331,10474,505421,8060,5250,411314,400,219,13201,60785,34034,2003407
2019-06-10,short,860354,561794,199830,830447,514132,160710,41441,21648,9625,6771868,3455318,1494372
2019-06-10,medium,457647,43062,470172,369786,25895,381191,18460,1390,18965,2889078,210823,3033442
2019-06-10,long,16535,10809,462985,8763,5432,372127,438,229,12251,68008,34397,1982193
2019-06-17,short,1002372,576903,254435,967400,519624,206882,48297,22238,12259,7832638,3640521,1858919
2019-06-17,medium,488563,48287,482048,396234,29324,390294,19759,1562,19496,3199500,248105,2961443
2019-06-17,long,14104,8628,423458,7568,4354,347663,377,185,11325,58275,28244,1788181
2019-06-24,short,1120708,647305,262545,1083588,584363,211733,54012,24957,12653,8228707,3918335,2108911
2019-06-24,medium,542285,48496,463095,442855,29287,370796,21991,1573,18779,3450739,248754,2817956
2019-06-24,long,15032,8795,376809,8167,4469,306226,405,189,10141,61529,28520,1553741
2019-07-01,short,1222282,716031,268753,1184335,648941,215491,58914,27610,12954,9757420,4239190,2045729
2019-07-01,medium,535675,46587,489572,438165,28082,395974,21777,1515,19903,3498010,246537,3212598
2019-07-01,long,13537,7407,334967,7321,3715,270533,364,159,9002,56267,25272,1431290
2019-07-08,short,1307783,765826,302638,1263400,691966,243488,63050,29537,14591,9571709,4582917,2413961
2019-07-08,medium,547491,46572,476379,447164,27953,382375,22313,1518,19414,3565165,248312,3080511
2019-07-08,long,11599,7983,295526,6204,4075,236920,308,169,7837,46973,26925,1193423
2019-07-15,short,1397105,825228,293921,1359252,751732,235330,67379,31839,14175,10301174,5246452,2328151
2019-07-15,medium,521680,47253,480741,426504,28614,389040,21325,1545,19652,3266111,236524,2968706
2019-07-15,long,7920,6550,267653,4100,3311,215165,204,135,6907,32066,21086,1040833
2019-07-22,short,1466023,816809,322675,1421771,736304,258990,70723,31523,15566,10740587,4861215,2346435
2019-07-22,medium,492219,40410,478555,404357,24288,391751,20195,1326,19635,3207806,211101,3032572
2019-07-22,long,4698,5062,249587,2338,2542,204048,116,100,6182,17831,15250,986408
2019-07-29,short,1422437,861354,356561,1374599,781796,289844,68632,33248,17204,10386272,4988740,2710532
2019-07-29,medium,513875,42371,400089,425130,25660,320799,21166,1396,16479,3297885,211981,2763754
2019-07-29,long,3520,6069,237634,1670,3082,190869,83,114,5589,13227,17483,926547
2019-08-05,short,1471837,829125,339532,1425558,747464,273768,71029,32010,16385,10876076,4860323,2468127
2019-08-05,medium,474585,39771,373136,393437,24184,300173,19615,1315,15422,3005467,198004,2400781
2019-08-05,long,2795,5756,222698,1294,2917,178207,64,106,5129,9622,16793,830156
2019-08-12,short,1467670,808042,330331,1428569,729974,266847,70843,31203,15945,10976375,5050381,2476328
2019-08-12,medium,449265,32371,323854,375299,19464,259690,18624,1074,13425,3017449,167768,2119068
2019-08-12,long,2549,4929,203647,1189,2497,164300,59,92,4749,8878,14139,721580
2019-08-19,short,1391301,827141,314764,1346535,750146,252989,67174,31948,15197,10513820,4796651,2279742
2019-08-19,medium,386289,30068,297325,321442,18184,239448,16044,999,12349,2452130,159747,1961227
2019-08-19,long,2851,4510,188722,1355,2269,151447,68,86,4480,10922,13500,730620
2019-08-26,short,1336908,762764,313444,1297467,690114,253754,64578,29475,15141,9787939,4659161,2352715
2019-08-26,medium,326785,28341,264216,271990,17377,214147,13586,943,10985,2310779,143574,1883555
2019-08-26,long,3182,4014,176364,1549,2012,141831,77,78,4276,11902,12311,664426
2019-09-02,short,1253868,697144,277877,1217089,628821,223421,60601,26955,13430,9559947,4186612,2047666
2019-09-02,medium,293441,25437,212866,246180,15720,171558,12212,847,8858,1877356,135114,1337368
2019-09-02,long,3509,3728,170349,1742,1865,137392,87,74,4221,13685,11617,650477
2019-09-09,short,1138132,606547,232349,1111466,547522,186032,55026,23460,11234,8292888,3760686,1793095
2019-09-09,medium,250260,17765,187379,209157,10667,151040,10426,592,7806,1607218,90847,1297973
2019-09-09,long,4062,4097,168147,2051,2071,135244,103,83,4245,15640,13269,636768
2019-09-16,short,923720,582482,206062,896205,533479,165738,44656,22528,9962,6917701,3490534,1609660
2019-09-16,medium,217032,16253,154778,181449,9828,124048,9040,542,6447,1422702,85654,985839
2019-09-16,long,4460,3921,172177,2280,1973,138970,114,80,4393,17268,12323,669323
2019-09-23,short,803348,494997,180620,777560,450967,145070,38841,19146,8733,6180533,3058198,1361748
2019-09-23,medium,187989,13292,130443,157565,8000,104450,7808,442,5418,1187892,66931,820363
2019-09-23,long,5008,4391,177599,2571,2217,142418,128,90,4525,19488,15889,698581
2019-09-30,short,721243,403230,154727,701303,364595,124116,34880,15600,7483,5399063,2481734,1151353
2019-09-30,medium,153525,12817,124336,126735,7757,99969,6327,423,5124,1031752,64373,775142
2019-09-30,long,4312,4599,185785,2169,2332,149566,108,92,4663,17714,14362,735863
2019-10-07,short,613392,333712,134269,595915,300450,107883,29661,12909,6493,4456087,1957876,989589
2019-10-07,medium,130415,12236,122724,106232,7415,99210,5301,398,4989,843221,63983,806631
2019-10-07,long,3823,4733,191597,1881,2391,153756,93,92,4674,14885,13931,723059
2019-10-14,short,511796,298532,111977,496780,270891,89888,24755,11552,5416,3721736,1817845,892570
2019-10-14,medium,124575,12858,122863,99868,7760,98325,4985,412,4917,829554,62042,748742
2019-10-14,long,2492,4709,192948,1165,2383,155325,58,88,4508,9319,13794,743467
2019-10-21,short,433666,248360,91733,423002,225949,73686,20978,9611,4437,3175531,1545889,681534
2019-10-21,medium,123396,14159,141389,97789,8560,113971,4878,448,5590,755588,67440,861356
2019-10-21,long,1282,4076,186032,563,2069,152229,28,72,4085,4629,11230,619878
2019-10-28,short,372375,196061,75919,364288,177024,60882,18007,7585,3671,2732719,1225666,607260
2019-10-28,medium,132355,15898,175418,104052,9590,142849,5200,500,6892,814766,82861,1093107
2019-10-28,long,576,3342,167350,231,1673,136624,12,54,3355,1922,8168,507781
2019-11-04,short,304929,177639,69031,295160,160718,55496,14728,6864,3334,2273712,1056066,527613
2019-11-04,medium,167531,17517,166160,134458,10602,133221,6698,560,6644,1088497,84527,1074779
2019-11-04,long,538,3810,174622,211,1910,141236,11,60,3413,1740,9712,513187
2019-11-11,short,276378,169705,66915,267017,154260,54145,13324,6545,3226,2054314,985335,498366
2019-11-11,medium,192481,17328,154622,159039,10596,124307,7898,569,6344,1281658,91101,1066617
2019-11-11,long,766,4632,199978,308,2331,161155,15,74,3999,2281,11863,603137
2019-11-18,short,292321,176120,77058,282130,159548,62954,14066,6780,3708,2225079,1043294,568713
2019-11-18,medium,211358,14512,144453,177644,8727,115770,8880,488,6069,1352896,78748,932689
2019-11-18,long,1068,5075,228147,440,2539,183694,22,84,4695,3413,13544,706018
2019-11-25,short,357281,217204,84811,344779,196961,68377,17179,8355,4078,2583560,1304293,631724
2019-11-25,medium,217210,13871,127981,186959,8465,103109,9295,475,5476,1443697,77184,843240
2019-11-25,long,1515,5978,255765,651,3050,208690,32,102,5431,4885,16076,846043
2019-12-02,short,463605,275815,105749,448378,249990,85023,22293,10610,5085,3744394,1633448,800625
2019-12-02,medium,189267,10926,120979,165176,6676,99836,8165,377,5219,1258492,62049,823696
