date,ttt_group,clicks_A,clicks_B,clicks_C,cost_A,cost_B,cost_C,bookings_A,bookings_B,bookings_C,booking_rev_A,booking_rev_B,booking_rev_C,year,month,day,total_clicks,total_bookings,total_cost,total_revenue
2019-04-07,long,7623,16179,685621,3484,8124,549885,174,295,15637,27502,45449,2407652,2019,4,7,709423,16106,561493,2480603
2019-04-14,short,917909,577633,205170,888315,527565,164644,44344,22324,9912,6720062,3687902,1590375,2019,4,14,1700712,76580,1580524,11998339
2019-04-14,medium,269280,25323,294318,218339,15279,241308,10860,817,11870,1664318,122683,1880798,2019,4,14,588921,23547,474926,3667799
2019-04-14,long,8894,18368,708344,4128,9334,568253,206,341,16431,31182,54276,2466050,2019,4,14,735606,16978,581715,2551508
2019-04-21,short,841713,521508,213527,814861,475546,174144,40677,20162,10319,6233062,3050563,1620625,2019,4,21,1576748,71158,1464551,10904250
2019-04-21,medium,284570,30680,296785,230081,18777,241221,11415,984,11904,1748602,152500,1855940,2019,4,21,612035,24303,490079,3757042
2019-04-21,long,8900,14892,727271,4211,7514,596599,210,281,17172,33632,43305,2586997,2019,4,21,751063,17663,608324,2663934
2019-04-28,short,784130,452778,171142,759775,409609,137096,37861,17489,8263,5734975,2743689,1241483,2019,4,28,1408050,63613,1306480,9720147
2019-04-28,medium,312628,31775,311993,250386,19123,249814,12496,1016,12470,1896341,155731,2015731,2019,4,28,656396,25982,519323,4067803
2019-04-28,long,11619,16001,727874,5593,8016,587643,279,308,17501,43016,47089,2940808,2019,4,28,755494,18088,601252,3030913
2019-05-05,short,737113,426786,172199,713956,386084,139069,35567,16474,8309,5632032,2575180,1256778,2019,5,5,1336098,60350,1239109,9463990
2019-05-05,medium,338579,34589,343898,271055,20821,275851,13514,1104,13726,2192373,173491,2100400,2019,5,5,717066,28344,567727,4466264
2019-05-05,long,13143,15754,721230,6443,7900,583326,322,308,17652,49237,47149,2878932,2019,5,5,750127,18282,597669,2975318
2019-05-12,short,735148,424171,172017,710895,382928,138724,35460,16368,8297,5777134,2467575,1287726,2019,5,12,1331336,60125,1232547,9532435
2019-05-12,medium,371329,40047,383314,297215,24265,308029,14830,1279,15308,2286619,200682,2312235,2019,5,12,794690,31417,629509,4799536
2019-05-12,long,16173,16715,701373,8110,8416,563414,403,333,17467,62374,53595,2680080,2019,5,12,734261,18203,579940,2796049
2019-05-19,short,766586,427178,174703,742329,384504,140622,36954,16474,8422,6313975,2520132,1325454,2019,5,19,1368467,61850,1267455,10159561
2019-05-19,medium,396199,39676,448716,317682,23861,365433,15853,1270,17954,2610663,195101,2785638,2019,5,19,884591,35077,706976,5591402
2019-05-19,long,17416,16059,674766,8844,8073,541231,441,325,17080,66621,49521,2704268,2019,5,19,708241,17846,558148,2820410
2019-05-26,short,761435,529080,170523,735333,488212,136585,36679,20389,8214,5684649,3243381,1265464,2019,5,26,1461038,65282,1360130,10193494
2019-05-26,medium,457453,44222,474705,368251,26583,383911,18347,1419,19039,2817910,220864,2967254,2019,5,26,976380,38805,778745,6006028
2019-05-26,long,15204,11968,646192,7838,5988,532319,391,246,16606,62121,38098,2639381,2019,5,26,673364,17243,546145,2739600
2019-06-02,short,917605,523479,198805,889180,472894,159123,44192,20169,9575,6895754,3063809,1454007,2019,6,2,1639889,73936,1521197,11413570
2019-06-02,medium,503767,46371,510853,407522,27840,413976,20259,1492,20543,3046951,238306,3336297,2019,6,2,1060991,42294,849338,6621554
2019-06-02,long,19519,13749,598172,10212,6885,480043,509,287,15593,80806,43964,2397779,2019,6,2,631440,16389,497140,2522549
2019-06-09,short,1057871,582235,232614,1026359,524262,186757,50953,22435,11204,7766517,3432413,1757072,2019,6,9,1872720,84592,1737378,12956002
2019-06-09,medium,554820,51858,526385,448875,31198,423078,22371,1673,21224,3409472,251701,3463155,2019,6,9,1133063,45268,903151,7124328
2019-06-09,long,18739,12825,552444,9910,6468,445962,495,271,14592,77539,42033,2202703,2019,6,9,584008,15358,462340,2322275
2019-06-16,short,1158465,692962,270872,1124788,630958,219312,55816,26710,13051,8435728,4320894,1983684,2019,6,16,2122299,95577,1975058,14740306
2019-06-16,medium,562340,55000,574109,455388,33307,466124,22735,1779,23210,3509039,277675,3669508,2019,6,16,1191449,47724,954819,7456222
2019-06-16,long,19379,11564,501561,10431,5836,405463,518,247,13396,78008,39405,2010341,2019,6,16,532504,14161,421730,2127754
2019-06-23,short,1317144,752597,287790,1278990,681416,231068,63477,29016,13870,9925629,4679848,2120469,2019,6,23,2357531,106363,2191474,16725946
2019-06-23,medium,602426,56770,575916,491032,34443,466790,24420,1841,23346,4122896,287292,3595221,2019,6,23,1235112,49607,992265,8005409
2019-06-23,long,18869,10807,449326,10202,5450,361072,508,233,12086,79014,35063,1887460,2019,6,23,479002,12827,376724,2001537
2019-06-30,short,1416403,820854,329917,1365621,739255,265125,68269,31651,15902,10532709,5066705,2390864,2019,6,30,2567174,115822,2370001,17990278
2019-06-30,medium,625597,53875,579834,510473,32356,468660,25424,1752,23564,3868237,269921,3634065,2019,6,30,1259306,50740,1011489,7772223
2019-06-30,long,17797,10062,398199,9673,5093,319183,479,217,10710,75973,32801,1669707,2019,6,30,426058,11406,333949,1778481
2019-07-07,short,1524808,906814,336892,1480794,825250,270897,73510,34974,16241,11103442,5398849,2515028,2019,7,7,2768514,124725,2576941,19017319
2019-07-07,medium,639242,56083,565706,523485,33882,456242,26042,1828,23046,3923669,286355,3591725,2019,7,7,1261031,50916,1013609,7801749
2019-07-07,long,12142,8637,356326,6471,4411,289705,323,184,9475,54822,30651,1485315,2019,7,7,377105,9982,300587,1570788
2019-07-14,short,1629967,928341,381686,1581952,839775,308967,78605,35815,18407,12508347,5413855,2916848,2019,7,14,2939994,132827,2730694,20839050
2019-07-14,medium,622805,53036,563847,510566,31956,456522,25447,1734,23038,3960028,274758,3522020,2019,7,14,1239688,50219,999044,7756806
2019-07-14,long,9253,7129,320377,4799,3579,258807,240,148,8307,38549,24442,1283013,2019,7,14,336759,8695,267185,1346004
2019-07-21,short,1701137,952328,401038,1650249,859217,324752,82062,36752,19346,12378468,5574165,2920041,2019,7,21,3054503,138160,2834218,20872674
2019-07-21,medium,609228,53768,534345,499656,32556,431115,24982,1764,21911,3804265,266292,3365972,2019,7,21,1197341,48657,963327,7436529
2019-07-21,long,6095,6384,295681,3050,3213,240380,152,127,7372,23204,20978,1198192,2019,7,21,308160,7651,246643,1242374
2019-07-28,short,1714072,1001552,387572,1657552,905612,311229,82702,38659,18700,12933296,5879941,2901211,2019,7,28,3103196,140061,2874393,21714448
2019-07-28,medium,587848,46359,501153,486296,27918,406391,24200,1527,20631,3895203,233867,3207242,2019,7,28,1135360,46358,920605,7336312
2019-07-28,long,4098,6794,281279,1947,3438,226693,97,129,6668,14742,19972,1015308,2019,7,28,292171,6894,232078,1050022
2019-08-04,short,1658523,1041133,409177,1603904,949918,332194,80036,40194,19746,13150330,6117843,3000058,2019,8,4,3108833,139976,2886016,22268231
2019-08-04,medium,555357,45089,456230,459783,27273,368546,22942,1490,18847,3600500,231536,2986068,2019,8,4,1056676,43279,855602,6818104
2019-08-04,long,3322,6389,266239,1539,3211,213307,76,118,6125,11464,17870,932996,2019,8,4,275950,6319,218057,962330
2019-08-11,short,1712200,973084,389089,1661516,879883,313733,82643,37574,18780,12994724,5739646,2933144,2019,8,11,3074373,138997,2855132,21667514
2019-08-11,medium,534104,38853,389274,447019,23434,313173,22133,1288,16131,3346991,194295,2561791,2019,8,11,962231,39552,783626,6103077
2019-08-11,long,3171,6077,242154,1479,3074,194137,74,113,5635,11577,17829,928773,2019,8,11,251402,5822,198690,958179
2019-08-18,short,1596717,1040962,357847,1548037,956674,287779,77088,40205,17276,11573664,6106916,2596078,2019,8,18,2995526,134569,2792490,20276658
2019-08-18,medium,482965,39724,332848,404851,24368,266328,20055,1320,13821,3028896,207133,2080527,2019,8,18,855537,35196,695547,5316556
2019-08-18,long,3047,4755,225001,1446,2386,182823,72,90,5326,11663,15036,848174,2019,8,18,232803,5488,186655,874873
2019-08-25,short,1523892,963569,375680,1474202,880241,305073,73604,37232,18145,11102041,5708067,2760642,2019,8,25,2863141,128981,2659516,19570750
2019-08-25,medium,422338,31877,290000,355116,19405,232649,17557,1060,12056,2671138,159093,1827913,2019,8,25,744215,30673,607170,4658144
2019-08-25,long,3358,4443,209813,1635,2240,171254,81,86,5071,13355,14272,812957,2019,8,25,217614,5238,175129,840584
2019-09-01,short,1393167,916296,349657,1347718,841174,284573,67329,35426,16898,10114873,5524361,2647061,2019,9,1,2659120,119653,2473465,18286295
2019-09-01,medium,354803,26731,258005,296186,16152,206971,14763,890,10735,2298600,142103,1611660,2019,9,1,639539,26388,519309,4052363
2019-09-01,long,4091,4465,200862,2023,2233,161627,101,88,4962,16077,13368,805104,2019,9,1,209418,5151,165883,834549
2019-09-08,short,1329234,746713,294883,1291178,674889,237296,64264,28881,14257,10122721,4455375,2149282,2019,9,8,2370830,107402,2203363,16727378
2019-09-08,medium,304482,22174,221143,254646,13366,177700,12683,739,9211,1904499,114549,1459688,2019,9,8,547799,22633,445712,3478736
2019-09-08,long,4869,5045,197405,2454,2554,158019,123,102,4972,19322,16026,764862,2019,9,8,207319,5197,163027,800210
2019-09-15,short,1096371,704494,256566,1061433,645360,207152,53004,27247,12404,8311753,4090219,2075318,2019,9,15,2057431,92655,1913945,14477290
2019-09-15,medium,256138,18065,193135,214168,10843,155889,10671,602,8046,1792904,91350,1223477,2019,9,15,467338,19319,380900,3107731
2019-09-15,long,5207,4380,201668,2662,2191,162853,133,89,5141,20113,13558,795140,2019,9,15,211255,5363,167706,828811
2019-09-22,short,953161,582077,240678,924826,531008,196614,46082,22513,11636,7238287,3411690,1755131,2019,9,22,1775916,80231,1652448,12405108
2019-09-22,medium,212082,15769,170741,176307,9473,138144,8814,524,7096,1490311,81170,1070473,2019,9,22,398592,16434,323924,2641954
2019-09-22,long,5504,4856,208251,2818,2448,167927,140,99,5312,21932,15706,844024,2019,9,22,218611,5551,173193,881662
2019-09-29,short,859604,481336,198348,837761,436304,160931,41571,18622,9592,6566276,2866972,1451432,2019,9,29,1539288,69785,1434996,10884680
2019-09-29,medium,175416,14578,157866,145235,8844,128993,7240,481,6516,1119435,77179,1002874,2019,9,29,347860,14237,283072,2199488
2019-09-29,long,5406,5511,217013,2727,2786,173649,136,111,5464,20760,16801,828660,2019,9,29,227930,5711,179162,866221
2019-10-06,short,721932,416993,164032,700467,377767,132243,34909,16131,7932,5360799,2428034,1222691,2019,10,6,1302957,58972,1210477,9011524
2019-10-06,medium,155534,13838,145744,127850,8406,118833,6337,451,5938,970609,68646,910229,2019,10,6,315116,12726,255089,1949484
2019-10-06,long,3950,4756,226338,1944,2395,184727,97,93,5549,15411,14936,855973,2019,10,6,235044,5739,189066,886320
2019-10-13,short,623428,341903,145336,605207,307900,117609,30153,13229,7029,4609734,2093489,1150176,2019,10,13,1110667,50411,1030716,7853399
2019-10-13,medium,137616,13644,154197,110419,8201,125495,5519,438,6184,888269,70313,955325,2019,10,13,305457,12141,244115,1913907
2019-10-13,long,3117,5335,227667,1467,2686,183229,73,100,5357,10975,15467,815753,2019,10,13,236119,5530,187382,842195
2019-10-20,short,535897,288058,110417,523880,260574,88599,25923,11148,5341,3976418,1695104,869967,2019,10,20,934372,42412,873053,6541489
2019-10-20,medium,142852,16521,163830,113120,9990,131973,5656,523,6486,850842,80410,1016324,2019,10,20,323203,12665,255083,1947576
2019-10-20,long,2021,5360,219943,903,2704,176527,45,95,4880,6966,14438,752991,2019,10,20,227324,5020,180134,774395
2019-10-27,short,426418,260587,90648,415374,238683,72762,20622,10082,4384,3130216,1603047,690886,2019,10,27,777653,35088,726819,5424149
2019-10-27,medium,151035,18025,202278,118826,10872,165060,5937,567,7951,963704,94200,1221394,2019,10,27,371338,14455,294758,2279298
2019-10-27,long,909,4694,200536,371,2349,160457,19,76,4083,2882,12053,628111,2019,10,27,206139,4178,163177,643046
2019-11-03,short,353384,216216,91509,342185,196894,74839,17073,8357,4421,2788307,1313238,681714,2019,11,3,661109,29851,613918,4783259
2019-11-03,medium,192527,19561,198915,154095,11764,159859,7669,623,7924,1151240,99225,1217284,2019,11,3,411003,16216,325718,2467749
2019-11-03,long,644,4736,201109,251,2372,160945,13,74,3921,2121,11596,631465,2019,11,3,206489,4008,163568,645182
2019-11-10,short,335316,192088,77929,324232,173244,62789,16170,7411,3758,2510903,1151053,608633,2019,11,10,605333,27339,560265,4270589
2019-11-10,medium,217454,19551,189763,177951,11839,152668,8890,639,7758,1432247,101590,1206226,2019,11,10,426768,17287,342458,2740063
2019-11-10,long,794,5510,230643,317,2803,187131,16,88,4595,2562,13246,690570,2019,11,10,236947,4699,190251,706378
2019-11-17,short,346081,201063,83433,334779,181732,67560,16657,7742,4016,2539771,1210611,632272,2019,11,17,630577,28415,584071,4382654
2019-11-17,medium,252009,15629,167922,214135,9381,135625,10554,524,7033,1611873,79216,1153392,2019,11,17,435560,18111,359141,2844481
2019-11-17,long,1227,5924,263532,504,2965,211997,25,97,5400,4093,16018,827712,2019,11,17,270683,5522,215466,847823
2019-11-24,short,391935,265132,93559,377691,243313,75377,18846,10199,4499,2953231,1586270,706436,2019,11,24,750626,33544,696381,5245937
2019-11-24,medium,251511,15657,158909,214859,9453,128180,10739,535,6785,1668770,87038,1037249,2019,11,24,426077,18059,352492,2793057
2019-11-24,long,1588,6996,296433,672,3564,241196,34,118,6265,5340,18123,953928,2019,11,24,305017,6417,245432,977391
2019-12-01,short,524994,305910,128274,507034,276157,103877,25244,11768,6168,4140866,1771791,971657,2019,12,1,959178,43180,887068,6884314
2019-12-01,medium,243687,13435,129540,213005,8175,104630,10511,464,5587,1667071,76360,871982,2019,12,1,386662,16562,325810,2615413
2019-12-01,long,2459,7355,326594,1075,3688,263086,54,129,7134,8304,19839,1148199,2019,12,1,336408,7317,267849,1176342
2019-12-08,short,664398,416085,148669,643638,380180,119442,31954,16009,7150,5134824,2432383,1190004,2019,12,8,1229152,55113,1143260,8757211
2019-12-08,medium,181711,10780,105915,156468,6521,85251,7754,368,4520,1164225,58684,691741,2019,12,8,298406,12642,248240,1914650
2019-12-08,long,3253,8835,352137,1467,4514,285177,73,159,7934,11299,23906,1305580,2019,12,8,364225,8166,291158,1340785
2019-12-15,short,825836,532983,192931,794681,485557,154798,39727,20511,9281,6107511,3259706,1425907,2019,12,15,1551750,69519,1435036,10793124
2019-12-15,medium,54820,6211,62243,43423,3747,50092,2160,196,2452,324944,30714,371517,2019,12,15,123274,4808,97262,727175
2019-12-15,long,4701,8920,374076,2180,4480,299731,109,165,8651,16862,25697,1373538,2019,12,15,387697,8925,306391,1416097
2019-12-22,short,888366,462440,202074,871759,418233,164790,43429,18086,9879,6805744,2846446,1509253,2019,12,22,1552880,71394,1454782,11161443
2019-12-22,medium,57302,7372,78660,44703,4451,63844,2225,229,3054,373968,35925,475503,2019,12,22,143334,5508,112998,885396
2019-12-22,long,5087,8547,391793,2399,4302,318079,120,161,9240,18855,24500,1399707,2019,12,22,405427,9521,324780,1443062
2019-12-29,short,484656,252172,92584,477396,228915,74151,23731,9878,4533,3659169,1517817,695410,2019,12,29,829412,38142,780462,5872396
2019-12-29,medium,76319,10078,99361,59177,6067,79627,2957,312,3849,448239,47436,603925,2019,12,29,185758,7118,144871,1099600
2019-12-29,long,6959,10354,399984,3357,5249,320158,166,198,9555,26167,31343,1440969,2019,12,29,417297,9919,328764,1498479
2019-01-07,short,97953,55346,22733,94942,49950,18357,4728,2137,1097,758496,321490,174453,2019,1,7,176032,7962,163249,1254439
2019-01-07,medium,91774,11949,113427,71704,7236,91000,3575,372,4418,576164,56522,751332,2019,1,7,217150,8365,169940,1384018
2019-01-07,long,5813,8461,348046,2805,4278,280077,140,163,8358,22476,26444,1352270,2019,1,7,362320,8661,287160,1401190
2019-01-14,short,94674,54771,22656,91389,49375,18290,4552,2107,1089,733881,329788,168891,2019,1,14,172101,7748,159054,1232560
2019-01-14,medium,118406,14532,147005,92981,8779,118604,4645,456,5767,720654,72562,870085,2019,1,14,279943,10868,220364,1663301
2019-01-14,long,5427,7692,354260,2599,3848,286030,130,147,8472,19731,23947,1300430,2019,1,14,367379,8749,292477,1344108
2019-01-21,short,123038,66963,30212,119551,60301,24630,5907,2572,1450,974617,391833,237578,2019,1,21,220213,9929,204482,1604028
2019-01-21,medium,154520,19058,174526,122186,11601,140122,6108,603,6899,945209,90912,1101670,2019,1,21,348104,13610,273909,2137791
2019-01-21,long,4662,7486,360127,2212,3768,294194,110,142,8514,17860,21478,1338448,2019,1,21,372275,8766,300174,1377786
2019-01-28,short,168187,108785,39366,161586,98975,31543,8074,4178,1890,1241542,641008,286796,2019,1,28,316338,14142,292104,2169346
2019-01-28,medium,196317,21097,199112,157234,12786,159755,7816,672,7927,1221961,103328,1240331,2019,1,28,416526,16415,329775,2565620
2019-01-28,long,4514,8046,365318,2115,4052,296404,105,150,8493,16118,22755,1363854,2019,1,28,377878,8748,302571,1402727
2019-02-04,short,248241,152362,56184,239528,138312,45023,11922,5854,2698,1824250,909213,404963,2019,2,4,456787,20474,422863,3138426
2019-02-04,medium,224214,22374,232364,179760,13448,187127,8981,717,9307,1409356,109451,1410169,2019,2,4,478952,19005,380335,2928976
2019-02-04,long,4003,8482,372321,1831,4262,300167,91,155,8489,13655,24351,1450729,2019,2,4,384806,8735,306260,1488735
2019-02-11,short,343909,207666,85144,330872,187585,68799,16529,7985,4092,2607506,1211665,618649,2019,2,11,636719,28606,587256,4437820
2019-02-11,medium,250830,27164,250939,202011,16570,202110,10095,875,10100,1574754,140382,1577997,2019,2,11,528933,21070,420691,3293133
2019-02-11,long,3404,8920,381729,1527,4513,308902,76,159,8531,11972,24260,1419678,2019,2,11,394053,8766,314942,1455910
2019-02-18,short,463374,275920,102565,448392,250245,82198,22295,10621,4935,3396416,1648705,782670,2019,2,18,841859,37851,780835,5827791
2019-02-18,medium,275124,25414,264884,223183,15307,213860,11117,822,10704,1741435,126909,1624165,2019,2,18,565422,22643,452350,3492509
2019-02-18,long,3431,9847,393276,1522,4983,315568,75,173,8633,12331,29836,1296416,2019,2,18,406554,8881,322073,1338583
2019-02-25,short,563309,336225,132645,548519,306945,107803,27127,12953,6388,4398582,1952858,1024274,2019,2,25,1032179,46468,963267,7375714
2019-02-25,medium,283284,27835,275823,230191,16924,223382,11495,904,11192,1769018,137002,1699470,2019,2,25,586942,23591,470497,3605490
2019-02-25,long,3161,10799,410637,1381,5501,329612,69,187,8906,10379,31338,1336242,2019,2,25,424597,9162,336494,1377959
2019-03-04,short,659822,383286,145878,640516,347647,117264,31793,14775,7029,4935009,2278402,1105117,2019,3,4,1188986,53597,1105427,8318528
2019-03-04,medium,298351,25202,268719,244215,15147,217102,12164,822,10956,1829482,128246,1644992,2019,3,4,592272,23942,476464,3602720
2019-03-04,long,2731,8653,438664,1184,4332,358755,59,150,9487,9430,25071,1505492,2019,3,4,450048,9696,364271,1539993
2019-03-11,short,722054,427229,163467,698021,386786,131246,34807,16476,7880,5775282,2516780,1191283,2019,3,11,1312750,59163,1216053,9483345
2019-03-11,medium,296026,27062,262335,242326,16427,211527,12115,886,10737,1836157,132939,1658925,2019,3,11,585423,23738,470280,3628021
2019-03-11,long,3365,13129,463515,1465,6775,373462,73,228,10063,11121,35076,1521828,2019,3,11,480009,10364,381702,1568025
2019-03-18,short,739820,485790,178334,714224,444961,144114,35676,18741,8600,5634552,2874033,1334105,2019,3,18,1403944,63017,1303299,9842690
2019-03-18,medium,299550,25192,245197,245962,15180,196356,12282,826,10053,1880733,131402,1633334,2019,3,18,569939,23161,457498,3645469
2019-03-18,long,3788,10943,497535,1667,5499,402879,83,192,10894,12646,29910,1680808,2019,3,18,512266,11169,410045,1723364
2019-03-25,short,811343,455360,196339,786739,410794,159444,39137,17572,9471,6112871,2647530,1423169,2019,3,25,1463042,66180,1356977,10183570
2019-03-25,medium,272132,27056,249292,223176,16627,202217,11151,887,10215,1780642,133708,1562670,2019,3,25,548480,22253,442020,3477020
2019-03-25,long,4515,12574,528496,2006,6349,425792,100,223,11715,15469,35651,1820048,2019,3,25,545585,12038,434147,1871168
2019-04-01,short,821816,467564,201136,794106,421045,162998,39654,18049,9705,6208373,2815051,1548005,2019,4,1,1490516,67408,1378149,10571429
2019-04-01,medium,268889,22766,232690,220047,13683,187012,10981,744,9502,1658957,114292,1450726,2019,4,1,524345,21227,420742,3223975
2019-04-01,long,5253,13949,559008,2374,7121,452688,118,251,12576,18961,39441,1983108,2019,4,1,578210,12945,462183,2041510
2019-04-08,short,807602,501247,177099,781106,456742,141695,38982,19356,8548,6354480,2975918,1308467,2019,4,8,1485948,66886,1379543,10638865
2019-04-08,medium,235003,25051,243009,190916,15384,198248,9534,813,9859,1489979,129524,1518021,2019,4,8,503063,20206,404548,3137524
2019-04-08,long,6819,14294,585574,3140,7220,470456,156,261,13387,24237,41004,2044509,2019,4,8,606687,13804,480816,2109750
2019-04-15,short,783132,474592,177338,758485,431760,142654,37838,18345,8568,5782069,2934569,1329009,2019,4,15,1435062,64751,1332899,10045647
2019-04-15,medium,241562,22580,237908,195314,13576,191994,9734,728,9587,1634095,109893,1452676,2019,4,15,502050,20049,400884,3196664
2019-04-15,long,7727,14494,605505,3594,7293,485826,180,270,14080,27626,40520,2247649,2019,4,15,627726,14530,496713,2315795
2019-04-22,short,738279,407235,171787,718356,367847,139301,35674,15742,8301,5465212,2468144,1283164,2019,4,22,1317301,59717,1225504,9216520
2019-04-22,medium,248337,28409,247898,199430,17398,199034,9955,911,9937,1620407,139268,1579706,2019,4,22,524644,20803,415862,3339381
2019-04-22,long,8223,12552,618725,3907,6288,504565,195,238,14647,30773,38036,2342342,2019,4,22,639500,15080,514760,2411151
2019-04-29,short,672405,370345,140579,654367,334517,112499,32462,14304,6787,5056460,2181899,1037103,2019,4,29,1183329,53553,1101383,8275462
2019-04-29,medium,255136,29379,279982,204493,17972,227029,10194,939,11187,1586083,148788,1815427,2019,4,29,564497,22320,449494,3550298
